station,datetime,report
VABB,040800Z,28010KT 3000 HZ SCT020 SCT025 31/25 Q1006 NOSIG=
VABB,040830Z,27012KT 3000 HZ SCT020 SCT025 31/25 Q1006 NOSIG=
VABB,040900Z,27012KT 3000 HZ SCT020 SCT025 32/25 Q1005 NOSIG=
VABB,040930Z,28011KT 3000 HZ SCT020 SCT025 31/25 Q1005 NOSIG=
VABB,041000Z,29012KT 3000 HZ SCT020 SCT025 31/24 Q1005 NOSIG=
VABB,041030Z,26011KT 3000 HZ SCT020 SCT025 30/23 Q1005 NOSIG=
VABB,041100Z,29011KT 3500 HZ SCT020 SCT025 31/24 Q1004 NOSIG=
VABB,041130Z,29011KT 3500 HZ SCT020 SCT025 31/23 Q1004 NOSIG=
VABB,041200Z,29011KT 3500 HZ SCT020 SCT025 30/25 Q1005 NOSIG=
VABB,041230Z,30009KT 3500 HZ SCT020 SCT025 30/24 Q1005 NOSIG=
VABB,041300Z,31008KT 3500 HZ SCT020 SCT025 29/24 Q1005 NOSIG=
VABB,041330Z,30008KT 3000 HZ SCT020 SCT025 29/24 Q1006 NOSIG=
VABB,041400Z,29008KT 3000 HZ FEW020 SCT025 29/25 Q1006 NOSIG=
VABB,041430Z,28005KT 3000 HZ SCT020 SCT025 29/25 Q1006 NOSIG=
VABB,041500Z,28007KT 3000 HZ SCT020 SCT025 29/25 Q1006 NOSIG=
VABB,041530Z,30006KT 3000 HZ SCT020 SCT025 29/25 Q1006 NOSIG=
VABB,041600Z,27005KT 3000 HZ SCT020 SCT025 29/25 Q1007 NOSIG=
VABB,041630Z,29005KT 3000 HZ SCT020 28/25 Q1007 NOSIG=
VABB,041700Z,26005KT 3000 HZ SCT020 28/25 Q1007 NOSIG=
VABB,041730Z,29004KT 3000 HZ SCT020 SCT025 28/25 Q1007 NOSIG=
VABB,041800Z,25003KT 3000 HZ SCT020 SCT025 28/25 Q1007 NOSIG=
VABB,041830Z,30004KT 3000 HZ SCT020 SCT025 28/25 Q1007 NOSIG=
VABB,041900Z,00000KT 3000 HZ SCT020 SCT025 28/28 Q1007 NOSIG=
VABB,041930Z,30004KT 3000 HZ SCT020 SCT025 28/27 Q1007 NOSIG=
VABB,042000Z,00000KT 3000 HZ SCT020 SCT025 28/25 Q1006 NOSIG=
VABB,042030Z,00000KT 3000 HZ SCT020 SCT025 28/25 Q1006 NOSIG=
VABB,042100Z,28006KT 3000 HZ SCT020 SCT025 28/25 Q1006 NOSIG=
VABB,042130Z,34004KT 3000 HZ SCT020 SCT025 28/25 Q1006 NOSIG=
VABB,042200Z,00000KT 3000 HZ SCT020 SCT025 28/25 Q1005 NOSIG=
VABB,042230Z,00000KT 3000 HZ SCT020 SCT025 28/25 Q1006 NOSIG=
VABB,042300Z,21004KT 3000 HZ SCT020 SCT025 27/25 Q1005 NOSIG=
VABB,042330Z,36005KT 3000 HZ SCT020 SCT025 28/25 Q1006 NOSIG=
VABB,050000Z,09004KT 3000 HZ SCT020 SCT025 27/25 Q1006 NOSIG=
VABB,050030Z,22003KT 3000 HZ SCT020 SCT025 27/25 Q1006 NOSIG=
VABB,050100Z,00000KT 3000 HZ SCT020 SCT025 27/25 Q1006 NOSIG=
VABB,050130Z,09004KT 3000 HZ SCT020 SCT025 27/26 Q1007 NOSIG=
VABB,050200Z,00000KT 2500 HZ SCT020 SCT025 27/26 Q1007 NOSIG=
VABB,050230Z,20003KT 2500 HZ SCT020 SCT025 28/26 Q1007 NOSIG=
VABB,050300Z,34003KT 2500 HZ SCT020 SCT025 29/26 Q1007 NOSIG=
VABB,050330Z,27004KT 3000 HZ SCT020 SCT025 29/25 Q1008 NOSIG=
VABB,050400Z,36004KT 3000 HZ SCT020 SCT025 29/25 Q1008 NOSIG=
VABB,050430Z,28006KT 3000 HZ SCT020 SCT025 30/24 Q1008 NOSIG=
VABB,050500Z,30007KT 3000 HZ SCT020 SCT025 30/25 Q1008 NOSIG=
VABB,050530Z,28008KT 3000 HZ SCT020 SCT025 30/24 Q1007 NOSIG=
VABB,050600Z,28010KT 3500 HZ SCT020 SCT025 30/25 Q1007 NOSIG=
VABB,050630Z,30007KT 3500 HZ SCT020 SCT025 30/24 Q1007 NOSIG=
VABB,050700Z,02007KT 3500 HZ SCT020 SCT025 32/23 Q1006 NOSIG=
VABB,050730Z,29011KT 4000 HZ SCT020 SCT025 32/25 Q1006 NOSIG=
VABB,050800Z,29009KT 4000 HZ SCT020 SCT025 31/24 Q1006 NOSIG=
VABB,050830Z,28012KT 4000 HZ SCT020 SCT025 31/24 Q1005 NOSIG=
VABB,050900Z,28007G17KT 4000 HZ SCT020 SCT025 32/25 Q1005 NOSIG=
VABB,050930Z,29007G17KT 4000 HZ SCT020 SCT025 32/24 Q1004 NOSIG=
VABB,051000Z,29012KT 4000 HZ FEW020 SCT025 31/23 Q1004 NOSIG=
VABB,051030Z,30010KT 4000 HZ FEW020 SCT025 31/24 Q1004 NOSIG=
VABB,051100Z,01010KT 4000 HZ FEW020 SCT025 32/24 Q1004 NOSIG=
VABB,051130Z,30010KT 4000 HZ FEW020 SCT025 31/24 Q1004 NOSIG=
